date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,12.55,12.67,12.77,12.41,210743,0,0,7661000000
2026-03-24,12.98,12.58,13.05,12.16,330900,0,0,7661000000
2026-03-23,12.97,12.7,13.49,12.58,426704,0,0,7661000000
2026-03-20,12.8,13.05,13.24,12.56,328625,0,0,7661000000
2026-03-19,12.85,12.61,12.96,12.49,190325,0,0,7661000000
2026-03-18,13.13,13.06,13.21,12.79,197250,0,0,7606999999
2026-03-17,13.49,13.13,13.7,13.11,170137,0,0,7606999999
2026-03-16,13.72,13.41,13.79,13.17,181494,0,0,7679000000
2026-03-13,13.85,13.79,14.2,13.65,160219,0,0,7679000000
2026-03-12,14.2,14.04,14.24,13.81,163136,0,0,7679000000
2026-03-11,14.38,14.24,14.55,14.1,229402,0,0,7625000000
2026-03-10,13.88,14.14,14.18,13.74,237241,0,0,7625000000
2026-03-09,13.72,13.55,13.72,13.33,285924,0,0,7625000000
2026-03-06,14.27,14.03,14.38,14.0,189916,0,0,7625000000
2026-03-05,14.5,14.27,14.74,14.19,207792,0,0,7625000000
2026-03-04,13.65,14.2,14.24,13.61,261107,0,0,7625000000
2026-03-03,14.55,13.85,15.08,13.84,387534,0,0,7625000000
2026-03-02,14.48,14.57,15.09,14.45,340294,0,0,7625000000
2026-02-27,14.67,14.86,15.16,14.67,405105,0,0,7625000000
2026-02-26,14.71,14.44,14.87,14.25,352843,0,0,7625000000
2026-02-25,15.0,14.77,15.34,14.66,376171,0,0,7625000000
2026-02-24,15.85,14.96,15.98,14.94,535739,0,0,7625000000
2026-02-13,15.38,15.73,15.73,15.22,392366,0,0,7625000000
2026-02-12,14.65,14.98,15.22,14.64,407275,0,0,7625000000
2026-02-11,15.46,14.67,15.59,14.67,703841,0,0,7625000000
2026-02-10,16.25,15.44,16.59,15.44,869945,0,0,7625000000
2026-02-09,16.25,16.25,16.25,15.92,434993,0,0,7625000000
2026-02-06,15.42,15.48,16.09,14.7,1032159,0,0,7625000000
2026-02-05,15.7,15.32,15.7,14.97,1262544,0,0,7625000000
2026-02-04,14.95,14.95,14.95,14.95,52069,0,0,7625000000
